battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
14960;712;518;48,82;463;85;0,55;17,77;1,35;0,92;0,43;313;0,67;11;1;1
24233;967;920;48,22;736;249;0,68;20,67;0,91;0,48;0,50;443;0,86;11;2;0
20348;1228;1214;49,16;1038;362;0,59;19,46;1,27;0,37;0,26;540;0,74;11;2;0
4493;357;241;46,92;238;97;0,41;26,42;0,77;1,41;0,58;241;0,56;11;2;0
29557;2223;2347;57,30;1585;409;1,14;42,11;0,82;1,11;0,82;755;1,97;11;2;0
103311;1836;1960;55,73;1163;584;1,04;22,13;2,43;1,06;0,45;636;1,34;11;1;1
47351;387;330;44,02;480;227;0,36;24,21;0,50;0,43;0,28;436;0,47;11;2;0
51827;909;925;47,23;879;343;0,62;23,13;0,83;1,14;0,25;510;0,81;11;1;1
19737;1436;1485;51,56;1006;466;0,80;27,10;1,47;0,39;0,54;514;1,09;11;1;1
9575;2002;2102;53,49;1755;453;0,95;25,68;1,24;0,48;0,23;867;1,28;11;1;1
32792;1573;1592;51,30;1312;362;1,01;33,49;0,67;0,71;0,67;723;1,51;11;1;1
125;1190;1289;51,20;1023;302;0,84;31,20;0,78;0,80;0,06;703;1,22;11;2;0
61679;600;631;46,43;555;307;0,44;31,89;0,42;1,12;0,47;375;0,64;11;1;1
75808;944;900;46,56;970;508;0,54;17,70;1,35;0,47;0,25;625;0,65;11;2;0
403;565;526;46,15;361;126;0,55;24,57;0,54;2,12;0,46;330;0,72;11;1;1
42734;631;621;44,21;574;344;0,50;21,27;1,01;0,93;0,27;383;0,64;11;1;1
5104;1214;1213;49,37;1246;386;0,74;32,93;0,85;0,90;0,40;694;1,11;11;1;1
1790;1146;1084;49,16;1077;229;0,67;23,30;0,78;1,59;0,20;650;0,87;11;1;1
54869;923;961;48,54;776;298;0,70;27,32;0,67;0,96;0,59;555;0,96;11;1;1
21853;1195;1453;49,73;970;510;0,73;35,65;0,53;0,53;0,49;587;1,14;11;2;0
22644;932;889;47,42;754;288;0,65;21,03;1,00;0,65;0,42;443;0,82;11;1;1
9911;1250;1368;50,63;975;547;0,72;19,04;1,72;0,91;0,62;546;0,89;11;2;0
18510;951;967;47,99;865;331;0,67;23,32;0,95;0,51;0,36;457;0,87;11;2;0
14636;727;705;47,06;636;272;0,51;23,07;0,81;0,44;0,27;396;0,66;11;1;1
14568;749;764;46,97;565;295;0,58;21,90;1,11;0,63;0,47;352;0,74;11;1;1
6193;660;595;45,33;555;223;0,48;16,45;0,92;0,61;0,21;407;0,57;11;2;0
1532;1135;1225;49,80;1220;377;0,73;29,57;0,77;0,44;0,14;666;1,04;11;2;0
12647;1726;1829;52,71;1098;325;0,93;33,49;1,03;0,83;0,63;727;1,40;11;2;0
682;1147;1160;48,24;1172;358;0,72;15,98;1,12;0,01;0,23;655;0,86;11;2;0
16;487;466;37,50;856;344;0,25;18,75;0,31;1,88;0,00;525;0,31;11;2;0
