battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
4210;794;732;48,03;604;224;0,52;20,78;0,96;0,64;0,25;481;0,66;12;2;0
141893;761;671;47,03;602;161;0,72;33,13;0,50;1,28;0,79;500;1,08;12;1;1
62364;1562;1595;49,18;1435;384;0,97;30,12;0,84;0,64;0,47;681;1,38;12;1;1
77534;645;586;46,86;550;155;0,59;28,26;0,60;1,70;0,36;368;0,83;12;1;1
46729;697;577;47,36;528;117;0,65;25,23;0,41;1,02;0,59;312;0,87;12;2;0
14743;891;825;47,48;832;235;0,59;19,77;0,85;0,51;0,25;512;0,74;12;2;0
11760;1196;1118;49,24;953;227;0,73;23,44;0,90;0,80;0,46;566;0,96;12;1;1
57946;1483;1559;49,37;1369;471;0,83;20,34;1,26;0,82;0,29;690;1,05;12;1;1
20117;876;822;49,31;504;177;0,71;33,76;0,62;1,24;0,56;344;1,07;12;2;0
82547;1998;2069;53,43;1682;460;1,13;34,19;0,94;0,97;0,56;787;1,72;12;2;0
55178;1488;1500;52,92;1231;444;0,78;18,39;1,37;0,46;0,50;551;0,95;12;1;1
51827;909;925;47,23;879;343;0,62;23,13;0,83;1,14;0,25;510;0,81;12;2;0
33677;1306;1303;51,71;1083;362;0,88;28,64;0,93;0,78;0,47;495;1,23;12;1;1
22053;866;858;47,74;784;307;0,59;25,86;0,79;1,02;0,32;465;0,80;12;1;1
13668;981;955;48,75;877;364;0,58;18,66;1,01;0,26;0,14;535;0,71;12;1;1
2272;1054;1018;50,35;788;248;0,65;23,94;0,73;1,02;0,28;534;0,85;12;2;0
21;362;235;52,38;563;164;0,43;23,81;0,33;0,00;0,14;567;0,56;12;1;1
14266;2521;2680;57,51;1943;552;1,20;37,75;1,23;0,37;0,62;942;1,93;12;2;0
14675;3349;3455;60,20;2238;636;1,45;32,80;1,52;0,59;0,86;1031;2,16;12;2;0
12585;1461;1514;50,98;1305;544;0,70;17,34;1,44;0,31;0,14;726;0,84;12;1;1
59004;1225;1176;49,15;1047;274;0,73;25,46;0,89;1,09;0,40;536;0,99;12;2;0
147939;1368;1329;50,27;1136;319;0,76;23,92;1,13;1,31;0,44;559;0,99;12;1;1
12332;880;848;48,05;785;284;0,53;21,86;0,83;0,57;0,27;453;0,68;12;2;0
73616;1216;1263;49,71;1153;469;0,74;24,74;1,29;1,14;0,32;525;0,98;12;2;0
76601;1150;1182;49,88;888;435;0,71;22,12;1,53;0,53;0,49;492;0,91;12;1;1
667;767;670;46,03;653;173;0,53;25,49;0,45;0,52;0,37;493;0,72;12;2;0
17;633;610;52,94;922;466;0,53;11,76;0,94;0,00;0,00;685;0,60;12;1;1
5433;1138;1198;49,49;1178;484;0,67;24,65;1,37;1,08;0,19;680;0,89;12;2;0
188;1345;1229;47,87;603;188;0,84;15,43;0,85;0,57;0,27;392;0,99;12;1;1
4074;1896;1944;52,90;1252;314;0,92;29,58;1,04;0,67;0,36;694;1,30;12;2;0
