battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
15219;1622;1600;52,43;1223;307;0,90;26,42;1,16;1,02;0,48;566;1,22;23;2;1
8719;1013;916;49,72;743;149;0,71;29,61;0,61;0,90;0,55;433;1,01;23;2;1
24364;833;803;46,75;714;208;0,67;31,52;0,48;0,60;0,54;396;0,98;23;1;0
8446;899;854;46,91;638;260;0,60;21,76;1,03;0,80;0,38;397;0,77;23;1;0
32675;1342;1260;50,52;950;274;0,90;29,73;0,95;1,12;0,88;490;1,28;23;2;1
28072;1098;1070;48,14;1063;381;0,72;31,12;1,00;0,62;0,39;619;1,04;23;2;1
9983;635;559;45,03;590;252;0,43;14,19;1,12;0,85;0,17;396;0,50;23;1;0
57814;925;957;47,49;757;330;0,70;23,31;0,96;0,78;0,47;512;0,91;23;1;0
23920;1581;1535;52,92;861;351;0,96;29,80;1,40;1,01;0,75;487;1,36;23;1;0
40402;1644;1608;52,38;1154;356;1,03;33,46;1,03;1,38;0,60;663;1,55;23;1;0
62983;1090;1156;46,28;1083;337;0,71;27,12;0,71;0,49;0,32;607;0,97;23;1;0
17179;777;823;46,47;658;299;0,54;26,60;0,68;0,45;0,38;514;0,74;23;1;0
20862;2012;2139;55,03;1536;488;1,03;30,33;1,29;0,72;0,55;678;1,47;23;2;1
21000;1619;1654;52,02;1074;321;0,94;33,76;0,89;1,10;0,67;538;1,43;23;2;1
2745;406;335;42,04;508;193;0,31;14,97;0,72;0,74;0,06;371;0,36;23;1;0
12804;1325;1281;48,05;948;325;0,76;20,02;1,25;0,45;0,38;492;0,95;23;1;0
14188;1273;1322;49,49;1038;355;0,76;30,23;0,83;0,75;0,54;604;1,08;23;1;0
52051;1052;1083;48,81;883;371;0,67;26,51;0,87;0,73;0,38;523;0,91;23;2;1
6085;1912;1928;54,64;1313;288;1,11;41,56;0,75;1,28;0,54;761;1,89;23;2;1
12521;514;472;45,80;539;313;0,32;11,74;1,26;0,47;0,21;375;0,36;23;1;0
14461;1380;1394;49,39;1235;363;0,74;25,70;0,92;0,37;0,30;627;1,00;23;2;1
174;518;480;43,10;515;144;0,52;24,71;0,34;0,91;0,05;443;0,69;23;1;0
7723;3334;3666;62,99;2943;561;1,47;41,62;1,20;0,24;0,48;1105;2,52;23;2;1
4618;1383;1367;55,26;1240;259;0,89;49,00;0,45;0,49;0,51;730;1,75;23;2;1
42639;788;805;48,04;705;283;0,54;23,38;0,78;0,49;0,39;388;0,71;23;2;1
10066;507;454;44,69;604;285;0,34;15,71;0,77;0,63;0,07;416;0,40;23;1;0
17162;1031;996;47,27;1100;358;0,56;17,04;1,03;0,44;0,26;653;0,68;23;1;0
555;1287;1228;50,81;803;203;0,79;24,68;0,83;0,74;0,66;608;1,05;23;2;1
556;2045;2092;55,04;1736;437;0,81;16,91;1,81;0,81;0,25;899;0,98;23;2;1
1058;1341;1283;50,95;809;225;0,91;26,18;0,98;0,96;0,32;607;1,24;23;2;1
