battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
9669;1546;1104;50,97;1012;14;0,95;25,71;1,53;1,20;0,48;574;1,27;13;1;0
25756;1250;1154;49,25;1051;257;0,80;23,49;1,25;1,24;0,48;623;1,05;13;2;1
42087;841;742;47,02;784;242;0,60;24,76;0,91;0,95;0,52;554;0,80;13;2;1
11331;1179;1242;50,24;797;355;0,76;27,87;0,89;0,82;0,53;496;1,06;13;2;1
36883;933;858;47,65;864;296;0,60;20,83;1,07;0,81;0,46;490;0,76;13;2;1
79848;2160;2193;53,82;1870;508;1,07;27,95;1,33;1,38;0,62;802;1,49;13;2;1
23979;794;727;47,08;742;202;0,59;26,68;0,59;0,37;0,39;462;0,80;13;1;0
55660;879;851;47,34;761;270;0,68;23,78;0,81;1,09;0,48;408;0,89;13;1;0
20904;1288;1273;49,31;1035;368;0,70;22,42;1,21;0,84;0,41;489;0,91;13;1;0
43297;1540;1639;50,97;1395;487;0,90;27,77;1,18;1,07;0,50;588;1,24;13;1;0
23188;2041;2115;53,14;1293;431;1,01;32,16;1,20;0,71;0,94;542;1,49;13;2;1
15436;1473;1472;49,51;1569;408;0,83;24,96;0,92;0,56;0,34;703;1,10;13;2;1
24002;2260;2453;56,23;1783;458;1,16;38,58;0,93;0,59;0,72;689;1,89;13;2;1
39000;1432;1362;50,05;1192;338;0,99;47,94;0,52;1,51;0,96;683;1,90;13;1;0
26507;1677;1686;52,34;1351;393;0,97;28,59;1,06;0,34;0,42;687;1,36;13;1;0
27269;1595;1645;51,29;1390;526;0,85;22,64;1,30;0,36;0,43;709;1,10;13;2;1
1523;392;344;39,99;585;220;0,31;16,55;0,72;0,75;0,07;477;0,37;13;1;0
6081;810;767;47,92;774;239;0,57;21,49;0,75;0,50;0,23;389;0,72;13;2;1
18356;2061;2253;53,65;1877;626;1,01;29,24;1,45;0,71;0,52;812;1,43;13;1;0
18236;1248;1290;48,16;1286;430;0,68;21,49;1,04;0,32;0,28;603;0,87;13;2;1
27032;929;981;47,94;915;323;0,65;30,94;0,65;0,73;0,33;552;0,95;13;1;0
31567;1800;1882;51,84;1622;498;1,05;29,61;1,09;0,91;0,38;798;1,49;13;1;0
24279;1882;2047;53,86;1436;666;0,84;20,27;1,89;0,45;0,37;713;1,05;13;1;0
26845;865;865;47,00;905;332;0,60;20,92;0,77;0,17;0,26;618;0,76;13;2;1
10504;576;537;44,40;792;286;0,42;22,42;0,57;0,36;0,28;521;0,54;13;2;1
10;583;470;40,00;1114;156;0,40;40,00;0,60;6,70;0,00;683;0,67;13;2;1
92;755;836;41,30;555;141;0,71;25,00;0,47;1,76;0,05;401;0,94;13;1;0
781;715;627;48,27;750;137;0,60;24,84;0,28;1,29;0,58;383;0,80;13;1;0
565;1959;2109;55,93;2324;615;0,94;31,50;1,04;0,48;0,33;784;1,37;13;1;0
19;694;631;52,63;964;306;0,47;21,05;0,63;2,53;0,00;655;0,60;13;2;1
