battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
14068;877;762;48,64;713;202;0,61;18,34;1,11;0,86;0,43;533;0,75;24;1;0
26595;1985;1986;52,00;1599;353;1,07;28,64;1,25;0,75;0,58;744;1,51;24;2;1
7408;958;869;48,96;807;290;0,59;25,88;0,95;1,30;0,61;495;0,80;24;1;0
30248;722;689;45,57;687;299;0,50;18,05;1,04;0,57;0,24;441;0,61;24;1;0
32001;2236;2463;55,45;1510;465;1,14;33,63;1,11;0,52;0,56;826;1,71;24;2;1
13529;1374;1400;49,78;1303;393;0,71;24,59;1,08;0,91;0,30;667;0,94;24;2;1
58462;2283;2298;55,45;1975;539;1,15;29,68;1,50;1,16;0,42;746;1,63;24;1;0
7637;1147;1233;52,14;1043;558;0,65;29,55;1,14;0,31;0,38;663;0,93;24;2;1
36508;995;968;48,21;955;326;0,60;33,09;0,72;2,33;0,38;480;0,89;24;2;1
24450;1777;1920;53,56;1551;577;0,94;33,87;1,22;0,29;0,43;783;1,43;24;2;1
45460;758;705;45,26;799;278;0,49;20,56;0,87;0,96;0,18;545;0,62;24;1;0
13309;1437;1466;51,13;1066;344;0,86;24,61;1,17;0,62;0,54;539;1,14;24;1;0
17483;1164;1221;48,90;1023;370;0,82;25,94;0,84;0,52;0,64;509;1,11;24;2;1
2719;370;325;45,90;327;202;0,33;27,99;0,40;1,11;0,36;349;0,46;24;1;0
63961;2183;2288;55,34;1894;583;1,22;40,05;1,06;0,25;0,50;877;2,04;24;1;0
4079;731;673;47,19;731;298;0,47;14,44;1,08;0,20;0,14;550;0,55;24;1;0
18732;1930;2087;52,69;1465;508;0,99;22,73;1,48;0,26;0,28;773;1,28;24;1;0
24828;957;986;48,00;912;451;0,55;25,33;1,05;0,66;0,36;570;0,74;24;1;0
12668;2403;2643;56,54;2219;570;1,11;33,54;1,36;0,37;0,24;932;1,67;24;1;0
7951;1319;1347;48,84;1240;452;0,71;21,17;1,35;0,48;0,11;707;0,90;24;2;1
17203;1459;1495;50,17;1459;440;0,75;23,55;1,12;0,43;0,19;747;0,98;24;2;1
22409;3253;3476;60,90;3058;777;1,38;36,38;1,78;0,25;0,49;1076;2,16;24;2;1
21331;2223;2378;54,63;2058;507;1,02;29,05;1,17;0,35;0,44;834;1,44;24;1;0
3274;1725;1825;52,14;1390;413;0,90;34,21;0,84;0,52;0,52;680;1,36;24;1;0
23582;1799;1794;53,61;1283;287;1,11;38,22;0,63;0,73;0,78;517;1,80;24;2;1
4452;508;387;44,70;557;109;0,44;24,87;0,34;0,43;0,27;360;0,59;24;2;1
8929;754;652;45,88;697;311;0,47;29,82;0,80;0,69;0,60;444;0,67;24;1;0
8508;2100;2119;55,44;1739;394;1,18;41,22;0,86;0,19;0,39;866;2,01;24;2;1
1937;1328;1304;49,30;1804;339;0,70;28,86;0,84;0,65;0,17;806;0,99;24;2;1
544;417;494;44,67;530;490;0,40;20,59;1,54;0,10;0,26;560;0,50;24;2;1
