battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
15294;1403;1274;52,27;831;326;0,83;24,12;1,81;0,68;0,60;474;1,10;26;2;1
36969;1261;1241;47,15;1195;270;0,78;30,03;0,66;0,64;0,57;624;1,11;26;1;0
27949;886;929;47,41;872;295;0,60;25,84;0,55;0,64;0,36;499;0,80;26;1;0
47902;972;945;48,39;798;304;0,71;26,92;0,82;0,82;0,53;438;0,97;26;2;1
24073;677;511;47,46;511;114;0,53;23,05;0,91;1,00;0,59;388;0,69;26;1;0
11137;1060;1081;47,90;815;264;0,66;24,79;0,89;0,73;0,25;431;0,88;26;2;1
8719;1013;916;49,72;743;149;0,71;29,61;0,61;0,90;0,55;433;1,01;26;1;0
53196;2184;2501;54,89;1600;800;1,06;33,12;1,69;0,28;0,52;821;1,58;26;1;0
31701;1493;1479;50,50;1151;380;0,79;23,93;1,20;0,22;0,56;505;1,03;26;2;1
15090;887;847;47,02;821;260;0,59;24,51;0,80;0,84;0,47;495;0,79;26;1;0
19674;1037;1038;49,82;651;231;0,80;26,55;0,91;0,53;0,43;352;1,10;26;2;1
51505;1639;1725;50,79;1371;391;0,93;28,99;1,02;1,15;0,45;613;1,31;26;1;0
32829;1516;1499;51,23;1194;367;0,90;30,13;0,95;0,49;0,68;596;1,29;26;1;0
29397;1639;1686;52,48;1430;410;0,93;31,96;0,93;0,75;0,61;606;1,37;26;2;1
13537;1172;1180;49,38;1086;363;0,73;24,25;0,84;0,27;0,33;614;0,97;26;2;1
17270;858;820;47,16;633;254;0,62;18,48;1,08;0,39;0,36;405;0,75;26;1;0
23965;2409;2660;55,13;1953;563;1,07;24,51;1,56;0,28;0,35;800;1,42;26;2;1
11153;1490;1524;50,69;1096;350;0,77;23,14;1,05;0,42;0,32;604;1,01;26;1;0
36473;2174;2266;54,88;1835;695;1,13;29,04;1,71;0,58;0,52;844;1,59;26;1;0
31567;1800;1882;51,84;1622;498;1,05;29,61;1,09;0,91;0,38;798;1,49;26;2;1
64752;1138;1224;48,82;1036;439;0,77;28,66;1,04;0,36;0,38;632;1,07;26;2;1
1959;1241;1307;50,23;1233;393;0,66;25,01;0,77;0,36;0,30;653;0,87;26;1;0
2415;689;599;46,83;678;217;0,40;15,45;1,02;1,66;0,01;508;0,47;26;2;1
57330;2104;2236;53,74;1749;464;1,12;32,20;1,09;0,68;0,50;726;1,65;26;1;0
11655;1526;1587;49,90;1357;450;0,87;31,78;1,03;0,79;0,47;656;1,28;26;2;1
20213;787;770;44,23;943;321;0,51;21,62;0,76;0,76;0,16;547;0,65;26;2;1
2074;1666;1734;53,23;1342;412;0,90;34,23;1,03;0,56;0,38;737;1,38;26;1;0
805;1629;1558;52,05;1852;388;0,70;20,12;1,28;0,72;0,15;838;0,88;26;2;1
631;1339;1223;48,97;1840;395;0,63;20,92;1,05;0,33;0,30;790;0,80;26;2;1
80;1871;1897;58,75;1428;412;0,94;40,00;1,13;1,25;2,83;808;1,56;26;1;0
