battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
38789;2192;1963;54,91;1375;418;1,19;30,70;1,74;1,28;1,02;655;1,72;16;1;0
30005;1746;1737;52,82;1258;451;0,89;23,68;1,63;0,45;0,71;732;1,16;16;2;1
60208;1360;1305;50,44;1184;318;0,82;25,31;1,24;0,54;0,49;565;1,10;16;2;1
106087;1790;1722;53,63;1149;350;1,05;29,56;1,23;0,51;0,79;667;1,48;16;1;0
30867;1367;1384;50,80;995;309;0,90;34,54;0,88;1,00;0,71;504;1,37;16;1;0
24135;1228;1215;51,18;796;267;0,90;23,11;1,27;1,54;0,40;430;1,17;16;2;1
8688;1132;1081;48,68;839;241;0,85;25,31;0,85;0,96;0,58;491;1,13;16;1;0
23742;1254;1271;49,51;1089;329;0,73;25,02;0,91;0,75;0,35;626;0,97;16;1;0
39903;639;588;46,89;580;218;0,53;18,41;0,75;1,09;0,31;356;0,64;16;1;0
47237;610;565;44,01;652;181;0,50;23,37;0,57;1,32;0,29;438;0,65;16;2;1
27008;1257;1282;49,68;1190;485;0,76;25,43;1,20;0,43;0,39;689;1,02;16;1;0
23278;803;799;48,76;618;268;0,56;21,85;0,96;0,41;0,50;375;0,72;16;1;0
5934;605;518;45,79;510;218;0,47;17,78;0,79;0,69;0,22;365;0,57;16;2;1
22749;1091;1052;49,08;988;301;0,65;14,97;1,18;0,38;0,21;532;0,76;16;2;1
43306;932;854;47,37;932;298;0,57;19,55;0,94;0,39;0,39;573;0,71;16;2;1
1923;429;309;46,07;309;149;0,35;14,09;0,97;0,97;0,18;325;0,41;16;1;0
32803;965;1045;46,37;957;439;0,59;26,46;0,86;0,45;0,28;581;0,80;16;2;1
54667;924;938;47,16;1048;404;0,68;21,06;1,21;0,54;0,28;582;0,87;16;2;1
2147;1477;1449;50,30;1156;306;0,74;21,66;1,19;0,37;0,38;726;0,94;16;2;1
36482;1392;1502;51,04;1091;508;0,78;31,84;1,28;0,29;0,37;671;1,14;16;2;1
60779;905;889;48,13;804;334;0,60;23,84;0,96;0,75;0,29;555;0,79;16;1;0
47773;1546;1452;50,53;1224;314;0,98;33,86;0,81;0,84;0,87;570;1,48;16;2;1
109078;1140;1181;49,98;776;306;0,74;32,09;0,74;0,78;0,74;435;1,09;16;1;0
2166;333;297;45,75;327;163;0,31;18,28;0,55;0,81;0,12;344;0,38;16;1;0
22362;642;569;46,60;526;212;0,46;20,34;0,77;0,82;0,27;417;0,57;16;1;0
319;1304;1273;50,16;1321;310;0,76;31,35;0,97;0,73;0,19;727;1,10;16;1;0
18629;1130;1164;48,68;1066;342;0,74;26,25;0,82;1,21;0,40;667;1,00;16;2;1
9308;1396;1463;50,48;1511;445;0,87;34,12;0,84;0,27;0,39;753;1,32;16;2;1
8107;1762;1814;50,65;1617;339;0,87;28,63;1,13;0,91;0,27;840;1,22;16;1;0
567;2499;2717;48,50;1845;315;1,03;27,51;1,20;0,42;0,56;890;1,42;16;2;1
