battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
70468;1511;1416;51,69;1185;356;0,87;24,83;1,74;1,12;0,50;597;1,16;17;1;1
80106;1462;1396;50,27;1241;362;0,92;30,25;1,15;1,28;0,66;652;1,31;17;1;1
88130;1142;1152;49,18;994;319;0,76;31,73;0,74;1,27;0,54;492;1,12;17;2;0
14543;898;841;47,09;720;158;0,68;27,36;0,61;2,05;0,50;371;0,94;17;1;1
44968;1353;1331;51,22;973;326;0,80;22,51;1,53;0,75;0,64;620;1,03;17;2;0
111165;1375;1340;50,60;961;370;0,85;27,00;1,29;1,42;0,78;490;1,16;17;1;1
23125;1911;1991;52,99;1672;377;0,91;28,07;1,02;0,25;0,34;826;1,26;17;2;0
19633;1165;1196;49,39;880;276;0,79;37,74;0,44;0,69;0,86;505;1,28;17;2;0
15974;1442;1424;49,92;1150;433;0,85;22,25;1,44;0,52;0,47;529;1,09;17;2;0
53076;978;963;46,74;1056;334;0,61;20,72;0,84;0,33;0,18;603;0,77;17;2;0
13139;2206;2323;54,06;2009;555;1,13;40,86;1,23;0,73;0,57;884;1,91;17;1;1
47902;768;775;47,18;701;280;0,61;24,66;0,63;0,46;0,42;499;0,80;17;2;0
15659;426;350;44,12;544;218;0,33;18,97;0,57;0,83;0,20;481;0,41;17;1;1
46025;1449;1467;50,07;1391;415;0,85;28,75;0,98;0,41;0,51;674;1,19;17;2;0
27419;1216;1170;48,77;1215;323;0,64;23,57;0,98;0,36;0,23;637;0,83;17;2;0
465;596;485;45,59;395;213;0,38;21,51;0,95;2,55;0,47;403;0,48;17;1;1
6572;599;519;45,62;748;204;0,46;18,50;0,53;1,33;0,24;445;0,56;17;2;0
11873;1005;1000;46,48;934;273;0,58;21,22;0,76;1,43;0,12;463;0,74;17;1;1
7162;2997;3237;58,43;2287;597;1,27;38,15;1,45;0,28;0,61;1016;2,05;17;1;1
27675;1020;986;48,53;865;310;0,65;17,51;1,17;0,96;0,32;501;0,79;17;1;1
66347;1244;1273;49,64;1068;358;0,76;29,68;0,76;0,61;0,64;498;1,09;17;1;1
1633;1165;1265;46,17;878;345;0,74;19,78;1,10;1,73;0,36;528;0,92;17;1;1
28835;1901;1979;52,41;1711;480;0,94;26,37;1,30;0,11;0,22;836;1,28;17;2;0
27316;1787;1701;51,99;1407;320;0,96;25,94;1,14;0,85;0,60;648;1,30;17;1;1
20335;885;847;47,51;872;270;0,58;24,35;0,65;1,08;0,30;502;0,76;17;1;1
88968;1352;1325;50,32;1109;336;0,84;26,59;1,11;0,91;0,60;458;1,15;17;2;0
4326;208;155;43,85;326;161;0,32;28,90;0,32;0,93;0,12;333;0,45;17;2;0
1460;561;518;42,05;772;266;0,47;21,10;0,67;0,98;0,14;510;0,59;17;2;0
96;1976;1965;53,13;1437;283;1,01;21,88;1,21;1,39;0,50;852;1,29;17;1;1
16;662;575;56,25;994;479;0,50;25,00;0,50;0,00;0,00;782;0,67;17;2;0
