battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
12017;661;622;46,53;635;258;0,51;21,53;0,74;0,81;0,30;428;0,65;14;1;1
48865;1499;1523;50,30;1443;269;1,07;41,45;0,42;1,53;0,65;654;1,83;14;2;0
46955;2217;2377;54,10;1757;457;1,20;33,92;1,04;0,60;0,76;762;1,82;14;2;0
18507;1028;1019;48,49;884;279;0,79;36,78;0,59;0,50;0,72;563;1,25;14;2;0
35511;1599;1668;49,96;1457;433;0,84;23,97;1,15;0,38;0,38;603;1,11;14;2;0
53130;1777;1874;54,81;1451;563;0,97;29,50;1,24;0,78;0,31;715;1,38;14;2;0
22749;1091;1052;49,08;988;301;0,65;14,97;1,18;0,38;0,21;532;0,76;14;1;1
3601;209;198;38,96;448;217;0,24;16,72;0,61;1,18;0,10;390;0,29;14;1;1
13290;1038;1151;49,27;932;722;0,59;15,86;1,82;0,29;0,16;603;0,71;14;1;1
11782;1386;1432;50,61;1239;495;0,68;23,25;1,27;0,30;0,34;691;0,89;14;1;1
31839;2320;2352;55,04;1817;501;1,24;40,42;1,04;0,38;0,67;827;2,08;14;1;1
24237;1604;1601;51,15;1153;364;0,85;22,18;1,28;0,38;0,49;588;1,09;14;1;1
33870;1254;1281;49,51;1226;364;0,78;27,21;0,74;0,39;0,26;636;1,07;14;2;0
20499;1940;2084;53,00;1602;509;0,99;23,12;1,35;0,27;0,33;764;1,28;14;1;1
8262;453;488;44,76;571;506;0,33;9,57;1,51;0,27;0,05;446;0,37;14;2;0
16445;1647;1706;52,64;1361;382;0,84;32,13;0,93;0,24;0,42;644;1,24;14;1;1
12307;2330;2444;55,85;2053;567;1,17;29,68;1,35;0,38;0,58;851;1,66;14;1;1
6857;1378;1396;48,49;1105;181;0,91;42,00;0,48;0,72;0,52;560;1,57;14;2;0
13101;1712;1786;53,61;967;415;1,14;29,55;1,88;1,17;0,76;824;1,61;14;2;0
30828;2725;2966;57,38;2206;567;1,23;37,44;1,20;0,45;0,51;960;1,96;14;2;0
3576;2221;2323;51,87;1892;429;1,13;33,17;1,03;1,92;0,39;858;1,70;14;1;1
8926;984;951;48,51;901;319;0,67;28,80;1,07;0,36;0,42;593;0,94;14;2;0
38590;949;893;47,20;789;295;0,62;15,11;1,21;0,40;0,23;449;0,73;14;1;1
28000;1490;1533;50,73;1279;473;0,78;24,60;1,32;0,35;0,29;609;1,03;14;2;0
9710;1111;1096;47,42;943;301;0,64;21,86;1,09;0,36;0,17;533;0,82;14;1;1
14367;1260;1236;48,63;1081;336;0,69;21,00;1,11;0,45;0,29;584;0,88;14;1;1
6015;733;690;45,94;740;261;0,47;21,46;0,79;0,28;0,24;468;0,59;14;2;0
3127;3808;3777;67,16;2624;576;1,74;51,77;1,12;0,88;1,03;1197;3,61;14;1;1
796;585;522;42,71;740;220;0,45;21,23;0,55;1,02;0,01;536;0,57;14;2;0
256;294;274;39,84;551;186;0,33;19,14;0,89;2,14;0,00;483;0,41;14;2;0
