battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
63777;1427;1302;50,68;1115;242;0,83;29,83;1,12;1,14;0,66;580;1,18;18;1;0
42227;1534;1566;50,55;1406;511;0,83;28,90;1,41;0,63;0,45;706;1,17;18;2;1
105969;708;705;46,49;745;326;0,54;17,14;1,02;1,41;0,35;554;0,65;18;1;0
41933;1362;1289;51,32;1032;281;0,92;35,44;0,95;1,59;0,64;504;1,43;18;1;0
22196;467;384;44,87;400;163;0,43;19,12;0,73;1,13;0,32;310;0,53;18;2;1
579;1320;1352;49,91;867;349;0,72;26,25;1,33;1,15;0,25;551;0,97;18;2;1
42825;1106;1134;48,87;1018;277;0,76;29,76;0,57;0,50;0,32;455;1,08;18;2;1
30445;1299;1386;49,81;1087;377;0,87;34,20;0,68;0,61;0,55;526;1,32;18;2;1
92086;1543;1633;50,22;1415;357;0,96;36,87;0,56;0,67;0,74;617;1,52;18;2;1
74911;1022;1061;48,71;895;305;0,72;25,37;0,72;0,77;0,39;437;0,97;18;2;1
18281;1077;1043;49,18;868;275;0,67;24,91;0,83;0,46;0,53;450;0,89;18;1;0
26390;830;740;46,89;831;271;0,50;17,28;1,06;0,65;0,27;522;0,60;18;2;1
32543;1574;1660;51,45;1237;402;0,93;28,54;0,95;0,42;0,32;605;1,31;18;2;1
47;1358;1211;48,94;1739;306;1,06;25,53;0,74;0,47;0,00;842;1,43;18;1;0
28513;1552;1747;52,68;1328;678;0,90;29,37;1,40;0,33;0,32;746;1,27;18;1;0
8918;1480;1566;51,03;1045;509;0,79;22,30;1,53;0,55;0,47;570;1,02;18;2;1
600;684;713;46,17;925;610;0,45;11,00;1,71;0,41;0,06;653;0,51;18;2;1
11586;1303;1354;49,06;1307;402;0,79;27,81;0,94;1,16;0,18;721;1,09;18;1;0
97828;859;879;47,11;829;385;0,65;20,79;1,04;0,33;0,44;467;0,82;18;1;0
36430;523;465;46,26;471;177;0,44;14,84;0,82;0,67;0,23;320;0,52;18;1;0
64821;749;786;47,29;706;342;0,57;25,62;0,67;1,22;0,30;394;0,77;18;1;0
53956;1357;1354;50,38;1109;354;0,82;30,07;1,03;0,93;0,53;584;1,17;18;2;1
4017;1384;1476;50,34;1353;313;0,86;29,18;0,76;0,38;0,26;666;1,22;18;1;0
4252;532;476;44,80;542;230;0,41;25,40;0,64;0,72;0,33;418;0,55;18;2;1
332;2198;2067;57,23;2424;395;1,23;43,07;0,80;0,29;0,60;864;2,16;18;1;0
5717;550;507;42,52;743;252;0,39;19,40;0,82;0,46;0,07;527;0,49;18;1;0
1456;673;555;46,02;721;261;0,43;27,13;0,71;2,52;0,12;544;0,59;18;1;0
986;348;283;43,00;359;119;0,40;18,97;0,48;2,18;0,50;366;0,49;18;2;1
28;642;687;25,00;1371;446;0,32;14,29;0,61;0,00;0,00;606;0,38;18;1;0
25;1805;1709;52,00;1827;203;1,00;24,00;1,08;0,00;0,00;882;1,32;18;2;1
