battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
11944;1051;915;50,35;664;145;0,71;24,48;1,04;1,93;0,56;396;0,94;15;2;0
11933;1309;1363;50,31;1039;287;0,82;29,20;0,77;0,60;0,63;515;1,16;15;1;1
43317;1214;1185;49,37;976;285;0,76;27,65;0,90;0,74;0,50;490;1,05;15;2;0
14327;812;724;48,06;634;208;0,57;17,25;1,13;0,74;0,37;362;0,69;15;2;0
4450;761;673;46,00;564;180;0,50;16,38;0,88;1,30;0,15;370;0,59;15;1;1
32303;510;409;46,86;386;146;0,52;28,00;0,46;1,03;0,74;291;0,72;15;1;1
27239;1023;996;47,86;843;269;0,69;26,93;0,82;0,54;0,69;537;0,94;15;2;0
90300;3014;3300;58,94;2294;539;1,25;28,18;1,47;0,38;0,67;886;1,74;15;2;0
4328;392;350;44,13;388;198;0,37;17,61;0,83;1,21;0,31;361;0,45;15;2;0
7473;499;432;45,04;521;222;0,36;14,00;0,97;0,51;0,16;365;0,41;15;2;0
27614;1258;1255;50,12;904;317;0,77;21,64;1,28;0,61;0,31;500;0,98;15;1;1
73515;1163;1197;48,39;1219;277;0,81;35,75;0,46;0,78;0,64;456;1,27;15;2;0
13936;672;612;46,51;671;252;0,50;20,24;0,77;0,39;0,22;435;0,63;15;1;1
8914;1592;1628;52,76;1144;405;0,93;39,10;0,89;0,58;0,95;732;1,53;15;1;1
9370;1066;1002;50,00;798;261;0,61;23,37;0,91;0,68;0,43;491;0,79;15;1;1
9697;425;356;45,59;431;198;0,38;21,14;0,58;0,47;0,21;431;0,48;15;1;1
21802;693;713;46,85;705;328;0,50;25,95;0,72;0,61;0,32;501;0,68;15;1;1
33718;2739;3018;56,83;2021;606;1,19;32,74;1,43;0,41;0,64;847;1,77;15;1;1
1787;504;418;46,67;505;152;0,46;37,38;0,34;1,36;0,36;386;0,73;15;2;0
30799;890;892;47,09;878;368;0,59;23,39;0,86;0,96;0,37;488;0,77;15;2;0
10066;507;454;44,69;604;285;0,34;15,71;0,77;0,63;0,07;416;0,40;15;2;0
30626;1551;1591;51,14;1185;372;0,98;34,23;0,82;0,88;0,58;546;1,50;15;2;0
10012;714;635;46,90;902;269;0,46;18,85;0,85;0,37;0,14;563;0,56;15;1;1
9615;1406;1446;51,61;989;311;0,86;37,61;0,70;0,99;0,67;615;1,38;15;1;1
318;495;412;45,28;397;149;0,42;19,18;0,71;1,72;0,31;383;0,52;15;1;1
1084;667;631;46,49;641;242;0,46;13,47;1,00;0,43;0,00;508;0,54;15;2;0
360;1551;1669;51,67;916;242;0,91;32,78;0,68;1,30;1,06;650;1,36;15;1;1
1899;2676;2922;56,35;2370;354;1,11;29,54;1,14;0,41;0,10;1009;1,57;15;2;0
286;674;583;50,35;944;332;0,56;22,03;0,72;0,94;0,28;644;0,71;15;1;1
333;1480;1465;51,35;1034;207;0,89;25,83;0,75;1,26;0,46;697;1,20;15;2;0
