battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
30802;2723;2964;56,86;2320;793;1,21;28,73;1,92;0,32;0,45;886;1,69;19;2;0
48798;2128;1972;56,00;1433;240;1,29;47,49;0,64;1,34;1,18;557;2,45;19;1;1
13661;912;935;48,06;875;393;0,56;24,43;0,99;0,65;0,18;552;0,75;19;1;1
14746;1948;2122;52,17;1587;352;1,03;42,26;0,66;0,49;0,84;699;1,78;19;2;0
78821;1405;1362;49,55;1411;385;0,78;23,04;1,25;0,54;0,33;679;1,02;19;1;1
29241;2076;2267;55,75;1626;512;1,03;34,31;1,16;1,15;0,49;708;1,57;19;1;1
17944;3368;3660;63,72;1753;540;1,50;46,90;1,37;1,12;1,24;919;2,83;19;1;1
22722;980;904;46,89;1014;301;0,67;23,54;1,07;0,77;0,35;571;0,87;19;2;0
46496;1085;1137;48,45;1154;408;0,75;24,02;0,88;0,78;0,18;548;0,99;19;2;0
7561;1868;2089;52,94;1616;536;0,98;33,54;1,10;0,33;0,33;812;1,48;19;2;0
39996;1519;1517;49,56;1208;289;0,91;24,53;1,01;1,40;0,47;648;1,20;19;1;1
19539;1149;1152;49,53;903;376;0,66;23,27;1,08;0,68;0,30;566;0,87;19;2;0
36398;1946;2056;52,65;1374;387;1,03;32,33;1,12;0,66;0,66;564;1,53;19;2;0
5095;694;609;45,46;890;240;0,45;15,39;0,79;0,71;0,07;602;0,53;19;1;1
37417;1723;1896;51,84;1486;600;0,94;31,28;1,25;0,72;0,32;672;1,37;19;2;0
13368;2294;2391;55,57;1971;609;0,99;23,48;1,63;0,25;0,50;827;1,29;19;2;0
19325;1464;1509;51,20;1179;366;0,82;24,87;1,03;0,69;0,25;562;1,09;19;2;0
20077;1500;1571;51,49;1172;358;0,85;28,93;0,98;0,71;0,40;571;1,20;19;2;0
51130;1958;2108;53,12;1655;626;0,99;23,71;1,50;0,33;0,36;724;1,29;19;2;0
78870;830;779;47,14;803;311;0,55;17,05;0,93;1,05;0,32;576;0,66;19;2;0
50734;1899;2031;52,19;1757;513;1,00;28,75;1,31;0,49;0,39;780;1,40;19;1;1
44373;1272;1266;50,40;1090;422;0,72;18,66;1,64;0,52;0,38;644;0,89;19;1;1
1941;492;433;43,33;555;204;0,37;15,40;0,69;0,33;0,17;422;0,44;19;1;1
20525;1672;1797;51,86;1675;454;0,91;30,32;0,95;0,39;0,26;795;1,31;19;1;1
2845;2250;2375;54,69;1779;573;1,02;25,17;1,63;0,15;0,46;893;1,37;19;1;1
1478;982;1019;49,80;877;270;0,67;31,73;0,49;0,21;0,35;608;0,99;19;1;1
32637;1888;2031;52,23;1557;430;1,00;33,64;1,03;0,45;0,47;627;1,51;19;1;1
98;838;652;54,08;1213;291;0,51;31,63;0,71;0,56;0,00;641;0,75;19;2;0
348;1410;1464;48,56;1843;401;0,84;29,02;0,84;0,00;0,49;821;1,18;19;2;0
181;950;910;47,51;1164;247;0,55;34,25;0,14;0,00;0,17;629;0,83;19;1;1
