battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
68114;841;747;47,00;755;218;0,57;19,66;0,97;0,94;0,32;562;0,71;34;1;1
23637;902;734;48,61;648;112;0,67;28,50;0,85;1,40;0,88;396;0,94;34;1;1
44988;3010;2764;59,89;2004;479;1,42;42,43;1,53;1,12;1,31;814;2,47;34;2;0
16087;1113;1059;49,16;860;267;0,69;21,73;0,99;0,61;0,45;528;0,88;34;1;1
10768;570;444;46,35;592;161;0,50;23,27;1,07;1,27;0,34;490;0,65;34;2;0
44182;1605;1614;52,18;1250;411;0,92;35,51;0,99;1,06;0,47;674;1,43;34;2;0
15116;791;742;48,29;610;210;0,63;28,54;0,58;2,08;0,67;373;0,89;34;2;0
28075;1362;1416;50,70;1113;391;0,77;23,97;1,13;0,43;0,39;563;1,01;34;2;0
10815;861;786;48,36;570;206;0,59;17,34;1,32;1,25;0,44;385;0,71;34;2;0
17429;1824;1784;53,03;1294;398;1,05;31,68;1,28;1,11;0,81;708;1,54;34;1;1
36266;1088;997;49,80;766;214;0,78;29,18;0,84;0,72;0,54;408;1,10;34;2;0
20847;1353;1309;49,82;1018;299;0,74;20,05;1,25;0,26;0,37;517;0,93;34;1;1
1861;656;643;42,34;930;217;0,54;25,20;0,37;0,41;0,19;526;0,72;34;1;1
6527;929;921;48,78;855;359;0,55;24,68;0,89;0,40;0,35;602;0,74;34;2;0
8576;640;539;48,18;435;175;0,49;15,50;1,25;0,91;0,35;313;0,58;34;1;1
16266;915;882;48,43;766;287;0,65;22,86;0,88;0,95;0,44;550;0,84;34;2;0
16447;713;660;46,59;614;267;0,49;23,23;0,94;1,01;0,43;406;0,63;34;1;1
77613;1580;1590;51,95;1135;442;0,93;32,73;1,36;0,69;0,75;689;1,38;34;2;0
42706;1243;1291;49,85;997;393;0,73;24,68;1,08;0,66;0,36;570;0,97;34;2;0
39223;969;954;48,47;816;283;0,64;22,93;0,74;0,54;0,50;472;0,84;34;1;1
52649;1742;1784;52,81;1381;404;0,91;26,76;1,15;0,89;0,48;743;1,24;34;2;0
21007;2820;3044;58,69;2028;512;1,19;31,13;1,30;0,44;0,56;926;1,73;34;2;0
38772;1758;1767;52,58;1497;387;0,99;33,42;0,96;0,46;0,65;661;1,49;34;1;1
74219;1006;969;48,16;930;346;0,62;15,98;1,10;0,69;0,29;525;0,73;34;1;1
6748;1225;1235;48,87;1095;296;0,80;31,21;0,75;0,73;0,37;668;1,17;34;1;1
20680;1722;1703;53,62;1443;418;0,95;27,27;1,22;2,11;0,64;617;1,30;34;1;1
2205;1341;1328;49,57;1663;402;0,67;26,44;0,96;0,67;0,31;779;0,91;34;2;0
5613;855;831;46,64;937;263;0,67;32,91;0,37;0,91;0,34;617;1,00;34;1;1
4926;1168;1197;48,88;938;336;0,67;21,54;0,97;0,50;0,43;656;0,86;34;1;1
3321;1236;1129;48,87;1381;278;0,67;17,65;0,91;0,66;0,12;725;0,81;34;2;0
