battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
99972;2181;2095;55,00;1655;438;1,15;33,87;1,41;1,19;0,87;810;1,74;49;1;1
50785;1860;1788;55,41;1394;348;1,07;35,39;1,06;1,70;0,65;749;1,66;49;1;1
36041;1026;1038;49,14;836;298;0,78;30,54;0,77;0,48;0,71;504;1,12;49;1;1
84132;1444;1359;51,28;1020;314;0,99;37,12;0,73;0,81;0,91;517;1,57;49;2;0
10476;1611;1635;52,30;1347;441;0,94;34,95;0,98;0,71;0,80;614;1,44;49;2;0
11878;1167;1125;51,09;879;255;0,71;29,36;0,93;1,49;0,56;429;1,00;49;2;0
29150;885;842;46,80;939;309;0,61;23,68;0,90;0,92;0,45;466;0,79;49;2;0
54954;1093;1078;48,40;1028;306;0,77;32,93;0,62;0,82;0,54;568;1,14;49;1;1
35814;983;918;48,81;701;258;0,65;25,73;1,01;1,65;0,61;383;0,87;49;1;1
2714;427;359;44,80;399;155;0,40;21,74;0,50;1,02;0,27;290;0,51;49;1;1
30106;2466;2681;57,11;1980;691;1,10;33,11;1,63;0,53;0,72;819;1,65;49;2;0
42766;1208;1269;49,87;959;374;0,81;31,10;0,91;0,93;0,65;583;1,17;49;1;1
62220;1052;1052;48,36;1008;333;0,71;24,95;0,87;0,66;0,34;581;0,94;49;1;1
2620;398;394;40,38;423;184;0,41;15,99;0,65;0,48;0,34;314;0,49;49;1;1
11856;1486;1523;50,10;1331;328;0,80;21,60;0,95;0,30;0,42;651;1,01;49;2;0
11087;775;802;46,63;694;366;0,51;18,19;1,29;0,53;0,20;501;0,62;49;2;0
7585;1662;1783;52,80;1186;424;0,92;28,91;1,14;0,74;0,42;598;1,29;49;1;1
4130;929;863;45,45;969;358;0,50;16,46;1,32;0,71;0,20;600;0,59;49;2;0
7549;705;622;47,01;603;220;0,54;25,34;0,61;1,18;0,41;407;0,72;49;1;1
42535;891;937;47,87;915;542;0,56;26,38;1,37;1,12;0,37;612;0,76;49;2;0
21120;804;752;47,09;638;247;0,55;17,27;1,04;0,33;0,25;397;0,66;49;2;0
21705;2275;2417;57,57;2215;570;1,03;30,21;1,29;0,41;0,44;896;1,48;49;2;0
16287;2173;2249;54,58;1649;540;1,14;38,13;1,25;0,50;0,52;730;1,85;49;1;1
20679;1060;1009;47,06;1020;280;0,66;18,63;0,96;0,32;0,25;593;0,82;49;2;0
4678;1155;1141;47,86;1014;319;0,72;29,73;0,67;0,93;0,44;568;1,02;49;2;0
48041;1475;1486;50,76;1271;437;0,88;25,13;1,14;0,57;0,51;632;1,18;49;1;1
7936;1411;1427;50,16;1075;412;0,87;17,55;1,59;0,73;0,39;554;1,06;49;2;0
8028;2102;2344;52,94;1691;617;1,06;35,45;1,28;0,49;0,39;845;1,64;49;1;1
53;283;189;50,94;620;272;0,36;24,53;0,40;0,77;0,00;662;0,48;49;2;0
92;96;123;35,87;406;241;0,24;18,48;0,59;1,23;0,09;446;0,29;49;1;1
