battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
98461;1496;1627;50,78;1511;432;0,87;34,65;0,78;0,22;0,57;678;1,34;54;1;1
98906;1826;1791;51,83;1603;410;1,05;32,78;0,98;0,52;0,65;712;1,57;54;1;1
12537;1057;1029;48,61;907;282;0,71;31,30;0,78;1,15;0,59;580;1,04;54;1;1
93388;1094;1052;48,90;942;329;0,67;23,43;1,13;0,76;0,37;537;0,88;54;2;0
50720;1482;1486;50,59;1288;334;0,88;29,38;0,81;0,54;0,60;656;1,25;54;2;0
10686;510;436;43,27;490;221;0,41;22,85;0,68;1,17;0,44;387;0,53;54;2;0
12942;976;975;49,40;719;225;0,74;35,37;0,50;0,76;0,73;496;1,15;54;1;1
70114;1935;2093;54,60;1576;686;1,01;32,92;1,76;0,48;0,67;689;1,50;54;2;0
20383;864;844;47,55;826;287;0,64;19,08;1,44;0,63;0,26;453;0,79;54;2;0
5841;512;430;45,90;492;165;0,40;18,47;0,59;1,30;0,14;370;0,49;54;1;1
13755;938;909;47,46;799;384;0,57;18,58;1,42;0,54;0,24;478;0,70;54;1;1
39014;1599;1616;50,63;1157;397;0,92;27,77;1,04;0,77;0,70;538;1,27;54;2;0
64650;913;912;47,79;745;322;0,63;25,80;0,91;0,45;0,50;424;0,85;54;1;1
21951;978;965;47,71;748;251;0,71;30,18;0,71;0,48;0,49;371;1,01;54;2;0
79014;1559;2215;54,34;1510;803;1,07;32,74;1,76;0,84;0,40;730;1,59;54;2;0
32130;1052;1014;48,38;920;275;0,70;32,25;0,53;0,49;0,58;449;1,04;54;2;0
35281;1114;1285;48,84;1194;614;0,70;35,21;1,16;0,54;0,40;519;1,08;54;1;1
10974;1282;1257;47,79;1422;321;0,68;24,51;0,80;0,35;0,24;638;0,91;54;1;1
2778;968;964;49,50;938;300;0,68;29,81;0,59;1,01;0,43;512;0,97;54;2;0
73329;2062;2258;52,96;1593;716;1,00;26,20;1,81;0,51;0,48;761;1,36;54;1;1
31777;1222;1269;48,80;1157;414;0,74;28,25;0,97;0,82;0,26;647;1,03;54;2;0
8560;1318;1307;48,80;1323;312;0,62;23,12;0,90;0,28;0,27;659;0,81;54;2;0
12964;1127;1168;48,56;965;363;0,66;24,64;0,93;0,65;0,35;527;0,88;54;2;0
10149;1377;1452;50,02;1270;621;0,76;22,49;1,43;1,23;0,38;669;0,98;54;2;0
11932;1189;1162;48,27;1293;356;0,62;24,92;0,89;0,60;0,18;602;0,83;54;1;1
41740;1067;1120;48,85;904;359;0,73;26,46;0,88;0,55;0,38;512;0,99;54;1;1
21702;1941;1959;52,54;1617;425;1,02;31,03;1,18;1,14;0,65;667;1,48;54;1;1
39288;1074;1072;49,07;1021;371;0,67;19,03;1,05;0,47;0,35;489;0,82;54;2;0
171;305;280;43,86;623;161;0,47;22,22;0,24;0,93;0,14;587;0,60;54;1;1
32;1087;1008;53,13;1285;247;0,88;34,38;0,41;0,00;1,34;743;1,33;54;1;1
