battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
10987;745;583;47,16;489;41;0,67;29,13;0,43;0,75;0,70;292;0,95;60;2;0
28610;1553;1640;52,29;1138;462;0,82;21,42;1,41;0,51;0,30;673;1,05;60;2;0
39328;664;622;45,34;808;255;0,51;21,55;0,61;0,70;0,22;512;0,65;60;1;1
43710;878;846;47,55;789;290;0,60;20,65;0,89;0,89;0,22;439;0,75;60;1;1
29552;930;920;48,41;769;335;0,60;21,31;1,11;0,44;0,42;456;0,76;60;2;0
44960;666;637;41,35;1022;347;0,51;24,16;0,61;0,87;0,12;502;0,67;60;1;1
28649;1129;1139;48,38;1138;442;0,59;17,78;1,30;0,34;0,22;639;0,72;60;2;0
37688;1682;1633;51,90;1311;388;1,02;30,55;1,02;0,54;0,62;707;1,47;60;1;1
24237;1604;1601;51,15;1153;364;0,85;22,18;1,28;0,38;0,49;588;1,09;60;1;1
63828;661;629;45,98;711;315;0,51;21,71;0,80;0,47;0,28;507;0,66;60;2;0
59257;1003;1066;48,12;972;376;0,71;29,62;0,62;0,89;0,57;545;1,01;60;2;0
12307;2330;2444;55,85;2053;567;1,17;29,68;1,35;0,38;0,58;851;1,66;60;1;1
44202;572;519;44,72;653;231;0,47;32,24;0,32;0,70;0,49;477;0,70;60;1;1
10689;1404;1432;49,83;1061;254;0,77;23,38;0,94;0,19;0,36;558;1,01;60;2;0
