battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
52642;1042;956;47,65;931;215;0,76;27,69;0,81;0,79;0,59;527;1,05;55;1;1
29646;866;821;47,18;785;294;0,60;28,26;0,92;0,55;0,45;454;0,84;55;1;1
69009;956;849;46,73;931;282;0,74;32,30;0,71;0,91;0,74;546;1,10;55;1;1
19073;1089;1057;50,48;758;264;0,71;26,95;0,88;0,92;0,55;401;0,97;55;1;1
61768;1203;1231;49,48;1107;408;0,70;23,79;1,20;1,12;0,48;660;0,92;55;1;1
73825;2074;2114;53,06;1781;512;1,10;31,89;1,25;0,75;0,67;712;1,62;55;1;1
39971;704;689;47,53;606;254;0,55;23,61;0,71;0,85;0,44;375;0,72;55;2;0
109637;1534;1575;50,63;1499;430;0,93;27,21;0,97;0,72;0,35;722;1,28;55;1;1
8547;988;974;49,14;753;273;0,65;23,73;0,89;0,58;0,38;424;0,85;55;1;1
58974;1952;1984;52,53;1469;553;1,13;33,54;1,44;0,34;0,56;774;1,69;55;2;0
8178;959;905;48,67;665;252;0,60;19,67;1,07;1,40;0,38;443;0,75;55;2;0
17098;1490;1463;51,78;993;314;0,90;28,86;0,87;0,63;0,84;500;1,27;55;1;1
21792;2660;2972;57,03;2264;688;1,15;34,03;1,57;0,41;0,45;851;1,74;55;1;1
4846;1003;1035;48,25;750;256;0,68;23,83;0,73;0,78;0,34;423;0,89;55;2;0
15962;1702;1740;51,31;1387;334;0,88;30,43;0,99;1,00;0,47;642;1,27;55;2;0
77304;607;629;46,71;625;312;0,47;24,71;0,51;0,63;0,38;371;0,62;55;2;0
95181;1246;1291;49,17;1262;519;0,73;19,42;1,56;0,36;0,23;660;0,90;55;2;0
31528;1579;1621;51,97;1387;447;0,82;19,92;1,34;0,92;0,25;709;1,03;55;1;1
23023;751;635;45,58;805;215;0,52;27,63;0,55;0,34;0,38;435;0,72;55;2;0
13102;2709;2813;55,78;2323;524;1,30;41,34;1,19;0,36;0,66;917;2,22;55;2;0
1467;1320;1269;50,78;1083;400;0,85;31,77;1,15;1,14;0,52;686;1,25;55;1;1
15149;1118;1154;47,52;1183;467;0,71;31,18;0,90;0,98;0,28;614;1,03;55;1;1
10197;1873;1927;53,62;1670;540;0,85;15,86;1,84;0,48;0,22;832;1,01;55;1;1
54920;1707;1583;51,03;1424;309;1,02;35,57;0,86;1,15;0,58;558;1,59;55;2;0
37966;1724;1801;51,81;1456;425;0,95;21,34;1,11;1,45;0,41;577;1,20;55;2;0
12188;1057;1059;47,46;1068;346;0,63;22,26;0,81;0,83;0,34;580;0,81;55;2;0
27521;1510;1475;50,98;1073;256;0,89;26,94;1,03;0,90;0,72;529;1,22;55;2;0
67754;912;915;48,45;808;280;0,66;24,32;0,84;0,84;0,26;404;0,88;55;2;0
5186;520;448;45,70;546;198;0,41;19,53;0,63;0,27;0,27;471;0,50;55;2;0
392;502;514;46,17;540;244;0,54;23,21;0,46;0,93;0,32;422;0,70;55;1;1
