battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
7811;1406;1043;50,07;1054;57;0,87;24,64;1,35;1,00;0,35;609;1,15;83;2;1
16195;1684;1344;51,72;1125;176;1,00;30,99;1,02;1,34;1,01;489;1,46;83;1;0
35240;809;700;48,39;535;164;0,61;18,26;1,16;1,58;0,24;365;0,74;83;2;1
44799;1144;1141;48,68;1001;292;0,75;28,90;0,75;0,95;0,33;474;1,05;83;1;0
25059;1633;1575;50,88;1409;303;0,91;19,95;1,22;0,78;0,48;703;1,13;83;2;1
18750;1072;1040;48,15;1035;263;0,66;23,55;0,83;0,36;0,38;564;0,86;83;1;0
4363;681;635;45,38;779;219;0,47;23,01;0,54;0,41;0,15;505;0,60;83;1;0
33273;1380;1336;50,34;1171;286;0,89;27,97;0,69;1,38;0,53;654;1,24;83;1;0
30962;917;823;48,68;681;215;0,65;21,56;1,05;0,86;0,49;405;0,83;83;1;0
25906;2012;1891;53,52;1526;310;1,12;35,24;1,04;0,89;0,81;634;1,73;83;2;1
4460;617;543;46,82;582;147;0,56;24,78;0,57;1,02;0,41;442;0,74;83;1;0
13778;1656;1697;51,85;1256;505;1,00;37,02;1,23;0,69;0,66;614;1,58;83;2;1
40950;2337;2089;56,33;1801;362;1,23;26,91;1,50;1,44;0,72;810;1,69;83;2;1
10053;324;259;44,86;345;144;0,36;19,90;0,50;1,47;0,31;309;0,45;83;1;0
32536;884;864;48,93;709;251;0,71;33,31;0,67;1,03;0,74;416;1,06;83;1;0
37168;609;552;46,81;539;216;0,44;13,83;0,86;0,20;0,29;334;0,51;83;2;1
15707;2006;2070;52,96;1390;327;1,02;31,63;1,09;0,78;0,66;616;1,49;83;1;0
55178;1488;1500;52,92;1231;444;0,78;18,39;1,37;0,46;0,50;551;0,95;83;2;1
5453;1212;1262;48,14;976;210;0,76;29,53;0,56;1,69;0,46;544;1,08;83;2;1
15574;585;521;45,36;584;233;0,44;17,52;0,91;0,88;0,29;447;0,53;83;1;0
8294;984;956;49,63;518;216;0,68;29,11;0,93;0,67;0,43;402;0,96;83;2;1
3198;634;571;43,09;670;217;0,39;17,29;0,81;0,63;0,11;514;0,47;83;2;1
76796;1190;1250;49,18;992;455;0,70;26,35;1,27;1,02;0,35;574;0,95;83;1;0
11207;1086;1076;47,79;1037;364;0,62;17,89;0,99;0,33;0,23;637;0,75;83;1;0
7097;803;750;44,99;834;284;0,46;20,06;0,82;0,47;0,26;543;0,57;83;2;1
57295;1442;1521;50,56;1219;334;0,84;40,01;0,56;0,51;0,82;670;1,40;83;2;1
3391;816;788;46,27;771;263;0,49;21,88;0,70;1,17;0,22;477;0,63;83;2;1
258;890;950;44,19;861;226;0,79;30,62;0,63;0,72;0,23;619;1,14;83;1;0
922;1170;1217;48,92;1234;247;0,80;35,79;0,58;0,67;0,28;691;1,24;83;2;1
134;214;118;45,52;321;150;0,24;22,39;0,72;1,83;0,00;441;0,31;83;1;0
